No.,n,p,nlam,hdmodel,const,err,rho,dim.alp
1,500,250,4,1,F,1,0,1
2,500,250,4,2,F,1,0,1
3,500,250,4,3,F,1,0,1
4,500,250,4,4,F,1,0,2
5,500,250,4,5,F,1,0,2
6,500,250,4,6,F,1,0,2
7,500,500,4,1,F,1,0,1
8,500,500,4,2,F,1,0,1
9,500,500,4,3,F,1,0,1
10,500,500,4,4,F,1,0,2
11,500,500,4,5,F,1,0,2
12,500,500,4,6,F,1,0,2
13,500,125,4,1,F,1,0,1
14,500,125,4,2,F,1,0,1
15,500,125,4,3,F,1,0,1
16,500,125,4,4,F,1,0,2
17,500,125,4,5,F,1,0,2
18,500,125,4,6,F,1,0,2
19,500,250,4,1,F,0,0,1
20,500,250,4,2,F,0,0,1
21,500,250,4,3,F,0,0,1
22,500,250,4,4,F,0,0,2
23,500,250,4,5,F,0,0,2
24,500,250,4,6,F,0,0,2
25,500,250,4,1,F,2,0.3,1
26,500,250,4,2,F,2,0.3,1
27,500,250,4,3,F,2,0.3,1
28,500,250,4,4,F,2,0.3,2
29,500,250,4,5,F,2,0.3,2
30,500,250,4,6,F,2,0.3,2
31,500,250,4,7,F,1,0,1
32,500,250,4,8,F,1,0,1
33,500,750,4,1,F,1,0,1
34,500,750,4,2,F,1,0,1
35,500,750,4,3,F,1,0,1
36,500,750,4,4,F,1,0,2
37,500,750,4,5,F,1,0,2
38,500,750,4,6,F,1,0,2
39,500,250,4,1,T,1,0,1
40,500,250,4,2,T,1,0,1
41,500,250,4,3,T,1,0,1
42,500,250,4,4,T,1,0,2
43,500,250,4,5,T,1,0,2
44,500,250,4,6,T,1,0,2
